1970	1m86FXQmwTgzrhyzqEhAQkoYXm3deH87k	Late 1980s, Early 1990s Joggers, Exercise, Fitness, USA Archive Footage - Kinolibrary (480p, h264, youtube).mp4
1970	1XgPD5UxlHqpJFTUC0pGRrfdqhj6iRF53	Shoe shopping at a mall in 1989 - Vampire Robot (1080p, h264, youtube).mp4
1980	1pkJiabxrQC-cTF2ZLr-05YXvShwd_paU	n.mp4
1980	1MX534mzrw2EppG5qk5IjR7IkjtIINhaI	n1.mp4
1980	1utI8Y0WmgfdbAVlHdnIihCGhwo3irkiQ	n2.mp4
1980	13234MZu2UqezPM-WQ2i1CIcp-s9VP0gr	n3.mp4
1980	1o8w_BJL77CNNLyA-a1rHBPUG2twYftfM	n4.mp4
1980	1ZTUMo9Cvkdgjsh3tNVyzFyUMdu1Nn2fa	n5.mp4
1980	1SPjjiYewiRqN6zK6ZGdKxQRdD6DOWLum	n6.mp4
1980	1218yk1rP0wtHMDosbFkeXlG4nokpNYoA	n.mp4
1980	1l9cH6WRfHH14w-kXzz8PXfl8Yuc6FUEs	n1.mp4
1980	1VPm4rUEMJhHTOa6H5XVbdZj-STPAosPe	n10.mp4
1980	1_m8z1QWEQND3PTSdgNCkqOKouMa4Ps0l	n11.mp4
1980	1jxV2CvLScCpitmjfFVAN5_JZw2rAazBN	n12.mp4
1980	1sVMYl9AKRcjMYGvN7N9_8Z5Y3WicTrtm	n13.mp4
1980	1MCmHBq2_qAaibUwiFv1Zm20CdncXQUaL	n14.mp4
1980	1PHmPgVXFwwDJnPiJAtPKXp1XsNrWZnOy	n15.mp4
1980	1rRLhpYvsOG4WfcBpD7nZoQKQhS_Mucju	n16.mp4
1980	1uIrucl1xDt1FQLYTpTQK48yawXoNaCgd	n17.mp4
1980	1TD5Oc4tVjY_bugOEaPXhvAedFX-nzPeF	n18.mp4
1980	1sjTuwYs5CPaVosCEj8nCmWE8soMgOJwe	n19.mp4
1980	138uNivO0lxj-ujzFXBJMTA9Ts69GSNZL	n2.mp4
1980	1ZDwYuFhrccy2rYfP4EDfOwYjYVD67ckF	n3.mp4
1980	1Iqrc56ofIYBuT7n72RLjO8xKuv90CZUn	n4.mp4
